date,state,district,pincode,age_0_5,age_5_17,age_18_greater
31-12-2025,karnataka,gadag,582101,1,0,0
31-12-2025,karnataka,kalaburagi,585104,13,2,0
31-12-2025,karnataka,kalaburagi,585228,5,2,0
31-12-2025,karnataka,kalaburagi,585313,3,0,0
31-12-2025,karnataka,kalaburagi,585318,2,1,0
31-12-2025,karnataka,kalaburagi,585320,1,4,0
31-12-2025,karnataka,hassan,573125,1,0,0
31-12-2025,karnataka,hassan,573126,0,2,0
31-12-2025,karnataka,hassan,573135,1,1,0
31-12-2025,karnataka,hassan,573212,1,0,0
31-12-2025,karnataka,hassan,573102,3,0,0
31-12-2025,karnataka,hassan,573118,1,0,0
31-12-2025,karnataka,hassan,573122,1,0,0
31-12-2025,karnataka,hassan,573127,2,0,0
31-12-2025,karnataka,hassan,573134,0,3,0
31-12-2025,karnataka,hassan,573136,2,0,0
31-12-2025,karnataka,hassan,573202,2,0,0
31-12-2025,karnataka,hassan,573225,0,1,0
31-12-2025,karnataka,haveri,581101,1,0,0
31-12-2025,karnataka,haveri,581102,2,0,0
31-12-2025,karnataka,haveri,581104,10,1,0
31-12-2025,karnataka,haveri,581106,5,0,0
31-12-2025,karnataka,haveri,581108,1,1,0
31-12-2025,karnataka,haveri,581110,5,0,0
31-12-2025,karnataka,haveri,581119,2,1,0
31-12-2025,karnataka,haveri,581208,4,0,0
31-12-2025,karnataka,kalaburagi,585101,1,1,0
31-12-2025,karnataka,kalaburagi,585105,2,0,0
31-12-2025,karnataka,kalaburagi,585210,1,0,0
31-12-2025,karnataka,kalaburagi,585217,1,1,0
31-12-2025,karnataka,kalaburagi,585222,3,2,0
31-12-2025,karnataka,kalaburagi,585236,0,2,0
31-12-2025,karnataka,kalaburagi,585301,0,1,0
31-12-2025,karnataka,kalaburagi,585305,1,0,0
31-12-2025,karnataka,kalaburagi,585306,1,0,0
31-12-2025,karnataka,kalaburagi,585311,3,0,0
31-12-2025,karnataka,kodagu,571218,5,0,0
31-12-2025,karnataka,kodagu,571253,2,0,0
31-12-2025,karnataka,kolar,563121,1,0,0
31-12-2025,karnataka,kolar,563129,4,0,0
31-12-2025,karnataka,kolar,563131,12,2,0
31-12-2025,karnataka,kolar,563132,4,0,0
31-12-2025,karnataka,kolar,563135,2,0,0
31-12-2025,karnataka,kolar,563161,1,0,0
31-12-2025,karnataka,kolar,563162,2,0,0
31-12-2025,karnataka,koppal,583226,1,2,0
31-12-2025,karnataka,koppal,583229,9,1,0
31-12-2025,karnataka,koppal,583234,3,1,0
31-12-2025,karnataka,koppal,583236,4,2,0
31-12-2025,karnataka,koppal,583277,10,6,0
31-12-2025,karnataka,koppal,583279,2,2,0
31-12-2025,karnataka,mandya,571401,3,2,0
31-12-2025,karnataka,mandya,571405,2,0,0
31-12-2025,karnataka,mandya,571428,3,0,0
31-12-2025,karnataka,mandya,571434,3,0,0
31-12-2025,karnataka,mandya,571435,2,0,0
31-12-2025,karnataka,mandya,571607,0,1,0
31-12-2025,karnataka,mysuru,570007,2,0,0
31-12-2025,karnataka,mysuru,570010,2,1,0
31-12-2025,karnataka,mysuru,571107,0,2,0
31-12-2025,karnataka,mysuru,571124,9,1,0
31-12-2025,karnataka,mysuru,571617,2,1,0
31-12-2025,karnataka,mysuru,570011,3,0,0
31-12-2025,karnataka,mysuru,570028,1,0,0
31-12-2025,karnataka,mysuru,571103,10,0,0
31-12-2025,karnataka,mysuru,571114,1,0,0
31-12-2025,karnataka,mysuru,571189,3,0,0
31-12-2025,karnataka,raichur,584118,0,2,0
31-12-2025,karnataka,raichur,584120,9,4,1
31-12-2025,karnataka,raichur,584128,22,9,0
31-12-2025,karnataka,raichur,584129,11,6,0
31-12-2025,karnataka,raichur,584135,4,1,0
31-12-2025,karnataka,ramanagara,560060,1,0,0
31-12-2025,karnataka,ramanagara,562109,5,0,0
31-12-2025,karnataka,ramanagara,562119,2,0,0
31-12-2025,karnataka,shivamogga,577401,3,0,0
31-12-2025,karnataka,shivamogga,577412,1,1,0
31-12-2025,karnataka,shivamogga,577428,1,0,0
31-12-2025,karnataka,shivamogga,577201,1,1,0
31-12-2025,karnataka,shivamogga,577216,1,0,0
31-12-2025,karnataka,shivamogga,577411,1,0,0
31-12-2025,karnataka,shivamogga,577412,1,1,0
31-12-2025,karnataka,shivamogga,577423,2,0,0
31-12-2025,karnataka,tumakuru,572102,3,0,0
31-12-2025,karnataka,tumakuru,572104,2,0,0
31-12-2025,karnataka,tumakuru,572119,0,1,0
31-12-2025,karnataka,tumakuru,572121,1,0,0
31-12-2025,karnataka,tumakuru,572132,4,1,0
31-12-2025,karnataka,tumakuru,572219,1,0,0
31-12-2025,karnataka,tumakuru,572104,2,0,0
31-12-2025,karnataka,tumakuru,572112,1,0,0
31-12-2025,karnataka,tumakuru,572117,1,0,0
31-12-2025,karnataka,tumakuru,572124,1,1,0
31-12-2025,karnataka,tumakuru,572140,0,1,0
31-12-2025,karnataka,tumakuru,572221,1,0,0
31-12-2025,karnataka,tumakuru,572224,1,0,0
31-12-2025,karnataka,udupi,574244,2,0,0
31-12-2025,karnataka,udupi,576113,1,0,0
31-12-2025,karnataka,udupi,576120,1,0,0
31-12-2025,karnataka,udupi,576211,1,0,0
31-12-2025,karnataka,udupi,576214,2,0,0
31-12-2025,karnataka,udupi,576225,1,0,0
31-12-2025,karnataka,uttara kannada,581318,2,1,0
31-12-2025,karnataka,uttara kannada,581324,2,0,0
31-12-2025,karnataka,uttara kannada,581332,1,0,0
31-12-2025,karnataka,vijayapura,586121,1,0,0
31-12-2025,karnataka,vijayapura,586127,1,1,0
31-12-2025,karnataka,vijayapura,586130,2,1,0
31-12-2025,karnataka,vijayapura,586203,3,0,0
31-12-2025,karnataka,vijayapura,586206,1,1,0
31-12-2025,karnataka,vijayapura,586215,10,0,0
31-12-2025,karnataka,vijayapura,586245,1,0,0
31-12-2025,karnataka,yadgir,585202,12,9,2
31-12-2025,karnataka,yadgir,585219,2,0,0
31-12-2025,karnataka,yadgir,585223,3,6,0
31-12-2025,karnataka,yadgir,585224,0,2,0
31-12-2025,karnataka,yadgir,585237,4,0,0
31-12-2025,karnataka,yadgir,585287,3,1,0
31-12-2025,karnataka,yadgir,585291,1,1,0
31-12-2025,karnataka,yadgir,585321,5,2,0
31-12-2025,karnataka,yadgir,585323,0,1,0
31-12-2025,kerala,alappuzha,688526,0,2,0
31-12-2025,kerala,alappuzha,688561,1,2,0
31-12-2025,kerala,alappuzha,688570,0,1,0
31-12-2025,kerala,alappuzha,689520,0,1,0
31-12-2025,kerala,alappuzha,690102,0,1,0
31-12-2025,kerala,alappuzha,690105,0,1,0
31-12-2025,kerala,alappuzha,690501,2,0,0
31-12-2025,kerala,alappuzha,690502,0,2,0
31-12-2025,kerala,alappuzha,690527,0,1,0
31-12-2025,kerala,alappuzha,690533,1,2,0
31-12-2025,kerala,alappuzha,690535,1,0,0
31-12-2025,kerala,alappuzha,690572,1,4,0
31-12-2025,kerala,ernakulam,682013,0,1,0
31-12-2025,kerala,ernakulam,682017,0,2,0
31-12-2025,kerala,ernakulam,682021,1,2,0
31-12-2025,kerala,ernakulam,682033,0,1,0
31-12-2025,kerala,ernakulam,682038,0,1,0
31-12-2025,kerala,ernakulam,683108,0,2,0
31-12-2025,kerala,ernakulam,683515,1,0,0
31-12-2025,kerala,ernakulam,683544,1,0,0
31-12-2025,kerala,ernakulam,683545,1,1,0
31-12-2025,kerala,ernakulam,683562,1,1,0
31-12-2025,kerala,ernakulam,683579,0,3,0
31-12-2025,kerala,ernakulam,683589,0,1,0
31-12-2025,kerala,ernakulam,686669,0,1,0
31-12-2025,kerala,ernakulam,686681,1,1,0
31-12-2025,kerala,ernakulam,686693,0,1,0
31-12-2025,kerala,idukki,685512,0,1,0
31-12-2025,kerala,idukki,685583,1,0,0
31-12-2025,kerala,idukki,685585,1,1,0
31-12-2025,kerala,idukki,685591,0,2,0
31-12-2025,kerala,idukki,685595,0,1,0
31-12-2025,kerala,kannur,670002,0,2,0
31-12-2025,kerala,kannur,670003,0,1,0
31-12-2025,kerala,kannur,670004,0,1,0
31-12-2025,kerala,kannur,670010,2,0,0
31-12-2025,kerala,kannur,670011,1,0,0
31-12-2025,kerala,kannur,670103,0,2,0
31-12-2025,kerala,kannur,670302,0,2,0
31-12-2025,kerala,kannur,670305,0,2,0
31-12-2025,kerala,kannur,670306,1,0,0
31-12-2025,kerala,kannur,670308,0,2,0
31-12-2025,kerala,kannur,670334,1,0,0
31-12-2025,kerala,kannur,670604,0,4,0
31-12-2025,kerala,kannur,670611,0,1,0
31-12-2025,kerala,kannur,670612,1,0,0
31-12-2025,kerala,kannur,670641,1,1,0
31-12-2025,kerala,kannur,670643,4,3,0
31-12-2025,kerala,kannur,670650,5,2,0
31-12-2025,kerala,kannur,670661,1,0,0
31-12-2025,kerala,kannur,670691,0,1,0
31-12-2025,kerala,kannur,670703,0,4,0
31-12-2025,kerala,kasaragod,671122,1,1,0
31-12-2025,kerala,kasaragod,671310,3,0,0
31-12-2025,kerala,kasaragod,671322,2,3,0
31-12-2025,kerala,kasaragod,671323,5,6,0
31-12-2025,kerala,kasaragod,671326,1,0,0
31-12-2025,kerala,kasaragod,671531,3,3,0
31-12-2025,kerala,kasaragod,671533,0,1,0
31-12-2025,kerala,kasaragod,671542,3,2,0
31-12-2025,kerala,kasaragod,671551,1,1,0
31-12-2025,kerala,kasaragod,671552,0,4,0
31-12-2025,kerala,kollam,689696,0,1,0
31-12-2025,kerala,kollam,690523,0,4,0
31-12-2025,kerala,kollam,690528,2,0,0
31-12-2025,kerala,kollam,690540,0,1,0
31-12-2025,kerala,kollam,690542,2,4,0
31-12-2025,kerala,kollam,691004,0,2,0
31-12-2025,kerala,kollam,691011,2,1,0
31-12-2025,kerala,kollam,691014,0,1,0
31-12-2025,kerala,kollam,691307,0,1,0
31-12-2025,kerala,kollam,691510,1,0,0
31-12-2025,kerala,kollam,691534,3,0,0
31-12-2025,kerala,kollam,691537,0,2,0
31-12-2025,kerala,kollam,691574,1,0,0
31-12-2025,kerala,kollam,691601,2,1,0
31-12-2025,kerala,kottayam,686004,0,1,0
31-12-2025,kerala,kottayam,686008,0,1,0
31-12-2025,kerala,kottayam,686012,1,0,0
31-12-2025,kerala,kottayam,686101,0,2,0
31-12-2025,kerala,kottayam,686102,0,5,0
31-12-2025,kerala,kottayam,686106,0,1,0
31-12-2025,kerala,kottayam,686141,0,1,0
31-12-2025,kerala,kottayam,686501,1,0,0
31-12-2025,kerala,kottayam,686507,0,2,0
31-12-2025,kerala,kottayam,686519,1,0,0
31-12-2025,kerala,kottayam,686538,0,3,0
31-12-2025,kerala,kottayam,686539,2,0,0
31-12-2025,kerala,kottayam,686544,1,0,0
31-12-2025,kerala,kottayam,686548,0,2,0
31-12-2025,kerala,kottayam,686561,1,0,0
31-12-2025,kerala,kottayam,686611,1,0,0
31-12-2025,kerala,kozhikode,673010,1,1,0
31-12-2025,kerala,kozhikode,673012,2,0,0
31-12-2025,kerala,kozhikode,673102,0,1,0
31-12-2025,kerala,kozhikode,673104,2,3,0
31-12-2025,kerala,kozhikode,673303,3,0,0
31-12-2025,kerala,kozhikode,673309,0,1,0
31-12-2025,kerala,kozhikode,673317,1,0,0
31-12-2025,kerala,kozhikode,673502,0,1,0
31-12-2025,kerala,kozhikode,673503,0,1,0
31-12-2025,kerala,kozhikode,673505,0,1,0
31-12-2025,kerala,kozhikode,673517,1,2,0
31-12-2025,kerala,kozhikode,673522,0,1,0
31-12-2025,kerala,kozhikode,673582,1,2,0
31-12-2025,kerala,kozhikode,673613,0,3,0
31-12-2025,kerala,malappuram,676103,6,4,0
31-12-2025,kerala,malappuram,676122,4,3,0
31-12-2025,kerala,malappuram,676123,12,10,0
31-12-2025,kerala,malappuram,676304,4,6,0
31-12-2025,kerala,malappuram,676501,3,2,0
31-12-2025,kerala,malappuram,676503,6,6,0
31-12-2025,kerala,malappuram,676505,0,1,0
31-12-2025,kerala,malappuram,676523,2,1,0
31-12-2025,kerala,malappuram,676528,4,5,0
31-12-2025,kerala,malappuram,676541,2,1,0
31-12-2025,kerala,malappuram,676552,3,13,0
31-12-2025,kerala,malappuram,679323,1,2,0
31-12-2025,kerala,malappuram,679324,3,1,0
31-12-2025,kerala,malappuram,679330,2,1,0
31-12-2025,kerala,malappuram,679575,0,2,0
31-12-2025,kerala,malappuram,679579,2,2,0
31-12-2025,kerala,malappuram,679581,0,2,0
31-12-2025,kerala,malappuram,679582,1,2,0
31-12-2025,kerala,malappuram,679583,0,1,0
31-12-2025,kerala,malappuram,679586,0,3,0
31-12-2025,kerala,malappuram,679587,0,2,0
31-12-2025,kerala,palakkad,678001,4,3,0
31-12-2025,kerala,palakkad,678002,0,1,0
31-12-2025,kerala,palakkad,678004,3,1,0
31-12-2025,kerala,palakkad,678543,3,3,0
31-12-2025,kerala,palakkad,678544,1,0,0
31-12-2025,kerala,palakkad,678581,0,1,0
31-12-2025,kerala,palakkad,678583,6,10,0
31-12-2025,kerala,palakkad,678613,1,0,0
31-12-2025,kerala,palakkad,678701,1,0,0
31-12-2025,kerala,palakkad,679307,0,3,0
31-12-2025,kerala,palakkad,679308,1,0,0
31-12-2025,kerala,palakkad,679309,1,0,0
31-12-2025,kerala,palakkad,679511,2,1,0
31-12-2025,kerala,palakkad,679513,3,2,0
31-12-2025,kerala,pathanamthitta,689514,1,0,0
31-12-2025,kerala,pathanamthitta,689549,2,0,0
31-12-2025,kerala,pathanamthitta,689597,0,1,0
31-12-2025,kerala,thiruvananthapuram,695003,0,2,0
31-12-2025,kerala,thiruvananthapuram,695005,1,3,0
31-12-2025,kerala,thiruvananthapuram,695006,1,1,1
31-12-2025,kerala,thiruvananthapuram,695010,0,1,0
31-12-2025,kerala,thiruvananthapuram,695017,3,1,0
31-12-2025,kerala,thiruvananthapuram,695020,5,2,0
31-12-2025,kerala,thiruvananthapuram,695021,2,1,0
31-12-2025,kerala,thiruvananthapuram,695028,1,1,0
31-12-2025,kerala,thiruvananthapuram,695029,0,1,0
31-12-2025,kerala,thiruvananthapuram,695143,1,0,0
31-12-2025,kerala,thiruvananthapuram,695145,2,0,0
31-12-2025,kerala,thiruvananthapuram,695301,0,1,0
31-12-2025,kerala,thiruvananthapuram,695304,1,2,0
31-12-2025,kerala,thiruvananthapuram,695305,1,1,0
31-12-2025,kerala,thiruvananthapuram,695502,1,1,0
31-12-2025,kerala,thiruvananthapuram,695568,1,1,0
31-12-2025,kerala,thiruvananthapuram,695571,1,1,0
31-12-2025,kerala,thiruvananthapuram,695605,3,1,0
31-12-2025,kerala,thiruvananthapuram,695615,3,1,0
31-12-2025,kerala,thrissur,679561,1,0,0
31-12-2025,kerala,thrissur,679564,1,1,0
31-12-2025,kerala,thrissur,680007,1,1,0
31-12-2025,kerala,thrissur,680008,1,2,0
31-12-2025,kerala,thrissur,680125,1,1,0
31-12-2025,kerala,thrissur,680303,0,1,0
31-12-2025,kerala,thrissur,680305,1,1,0
31-12-2025,kerala,thrissur,680307,0,1,0
31-12-2025,kerala,thrissur,680308,3,0,0
31-12-2025,kerala,thrissur,680506,1,2,0
31-12-2025,kerala,thrissur,680524,0,2,0
31-12-2025,kerala,thrissur,680542,0,1,0
31-12-2025,kerala,thrissur,680581,0,1,0
31-12-2025,kerala,thrissur,680589,1,1,0
31-12-2025,kerala,thrissur,680604,1,1,0
31-12-2025,kerala,thrissur,680612,1,1,0
31-12-2025,kerala,thrissur,680614,1,1,0
31-12-2025,kerala,thrissur,680616,0,1,0
31-12-2025,kerala,thrissur,680654,2,0,0
31-12-2025,kerala,thrissur,680663,0,5,0
31-12-2025,kerala,thrissur,680691,0,1,0
31-12-2025,kerala,thrissur,680702,2,1,0
31-12-2025,kerala,thrissur,680721,0,2,0
31-12-2025,kerala,wayanad,670731,2,0,0
31-12-2025,kerala,wayanad,673575,2,0,0
31-12-2025,kerala,wayanad,673591,1,0,0
31-12-2025,kerala,wayanad,673592,3,4,0
31-12-2025,kerala,wayanad,673593,0,1,0
31-12-2025,ladakh,leh,194101,1,0,0
31-12-2025,lakshadweep,lakshadweep,682559,1,0,0
31-12-2025,madhya pradesh,agar malwa,465447,15,7,0
31-12-2025,madhya pradesh,agar malwa,465550,6,8,0
31-12-2025,madhya pradesh,alirajpur,457882,7,30,0
31-12-2025,madhya pradesh,anuppur,484330,3,2,0
31-12-2025,madhya pradesh,anuppur,484334,12,2,0
31-12-2025,madhya pradesh,ashoknagar,473885,0,1,0
31-12-2025,madhya pradesh,balaghat,481105,17,9,0
31-12-2025,madhya pradesh,balaghat,481226,16,1,0
31-12-2025,madhya pradesh,balaghat,481337,7,0,0
31-12-2025,madhya pradesh,balaghat,481662,1,0,0
31-12-2025,madhya pradesh,barwani,451449,10,10,0
31-12-2025,madhya pradesh,betul,460440,10,5,0
31-12-2025,madhya pradesh,betul,460551,22,0,0
31-12-2025,madhya pradesh,betul,460553,3,0,0
31-12-2025,madhya pradesh,betul,460666,2,0,0
31-12-2025,madhya pradesh,betul,461441,1,0,0
31-12-2025,madhya pradesh,bhind,477111,9,5,0
31-12-2025,madhya pradesh,bhind,477222,12,11,0
31-12-2025,madhya pradesh,bhind,477447,13,12,0
31-12-2025,madhya pradesh,bhind,477449,2,3,0
31-12-2025,madhya pradesh,bhind,477566,2,0,0
31-12-2025,madhya pradesh,bhopal,462016,2,2,0
31-12-2025,madhya pradesh,bhopal,462021,6,1,0
31-12-2025,madhya pradesh,bhopal,462101,20,5,0
31-12-2025,madhya pradesh,bhopal,463106,14,5,0
31-12-2025,madhya pradesh,burhanpur,450332,5,5,0
31-12-2025,madhya pradesh,chhatarpur,471301,14,8,0
31-12-2025,madhya pradesh,chhatarpur,471501,66,12,0
31-12-2025,madhya pradesh,chhatarpur,471515,36,16,0
31-12-2025,madhya pradesh,chhatarpur,471625,21,12,0
31-12-2025,madhya pradesh,chhindwara,480334,15,1,0
31-12-2025,madhya pradesh,chhindwara,480338,4,0,0
31-12-2025,madhya pradesh,chhindwara,480447,0,1,0
31-12-2025,madhya pradesh,damoh,470771,11,2,0
31-12-2025,madhya pradesh,damoh,470881,6,1,0
31-12-2025,madhya pradesh,datia,475673,11,11,0
31-12-2025,madhya pradesh,datia,475675,11,16,0
31-12-2025,madhya pradesh,dewas,455001,89,17,0
31-12-2025,madhya pradesh,dewas,455116,14,1,0
31-12-2025,madhya pradesh,dewas,455118,10,2,0
31-12-2025,madhya pradesh,dewas,455223,6,4,1
31-12-2025,madhya pradesh,dhar,454774,2,3,0
31-12-2025,madhya pradesh,khandwa,450001,8,2,0
31-12-2025,madhya pradesh,khandwa,450114,4,4,1
31-12-2025,madhya pradesh,khandwa,450116,4,9,0
31-12-2025,madhya pradesh,guna,473105,19,14,2
31-12-2025,madhya pradesh,guna,473111,1,4,0
31-12-2025,madhya pradesh,guna,473287,21,22,0
31-12-2025,madhya pradesh,guna,473446,2,1,0
31-12-2025,madhya pradesh,gwalior,474001,17,21,1
31-12-2025,madhya pradesh,gwalior,474006,25,39,4
31-12-2025,madhya pradesh,gwalior,474010,7,12,0
31-12-2025,madhya pradesh,hoshangabad,461110,1,0,0
31-12-2025,madhya pradesh,hoshangabad,461111,23,3,0
31-12-2025,madhya pradesh,hoshangabad,461115,1,0,0
31-12-2025,madhya pradesh,hoshangabad,461668,2,0,0
31-12-2025,madhya pradesh,hoshangabad,461990,26,7,0
31-12-2025,madhya pradesh,indore,452003,7,1,0
31-12-2025,madhya pradesh,indore,452005,17,3,0
31-12-2025,madhya pradesh,indore,452010,24,9,0
31-12-2025,madhya pradesh,indore,453112,8,3,0
31-12-2025,madhya pradesh,indore,453220,18,3,0
31-12-2025,madhya pradesh,jabalpur,482001,38,5,0
31-12-2025,madhya pradesh,jabalpur,482003,38,13,0
31-12-2025,madhya pradesh,jabalpur,482004,13,5,0
31-12-2025,madhya pradesh,jabalpur,482021,5,1,0
31-12-2025,madhya pradesh,jabalpur,482056,9,0,0
31-12-2025,madhya pradesh,jabalpur,483220,7,1,0
31-12-2025,madhya pradesh,jhabua,457661,32,65,3
31-12-2025,madhya pradesh,jhabua,457773,12,6,0
31-12-2025,madhya pradesh,jhabua,457990,0,4,0
31-12-2025,madhya pradesh,katni,483331,9,6,0
31-12-2025,madhya pradesh,katni,483442,10,4,0
31-12-2025,madhya pradesh,katni,483501,81,60,3
31-12-2025,madhya pradesh,khandwa,450337,2,1,0
31-12-2025,madhya pradesh,khargone,451113,17,10,0
31-12-2025,madhya pradesh,khargone,451220,5,4,0
31-12-2025,madhya pradesh,khargone,451228,14,6,0
31-12-2025,madhya pradesh,khargone,451441,14,20,0
31-12-2025,madhya pradesh,khargone,451660,3,3,0
31-12-2025,madhya pradesh,mandla,481663,3,0,0
31-12-2025,madhya pradesh,mandla,481665,10,0,0
31-12-2025,madhya pradesh,mandla,481668,9,0,0
31-12-2025,madhya pradesh,mandla,481776,7,0,0
31-12-2025,madhya pradesh,mandla,481996,12,2,0
31-12-2025,madhya pradesh,mandsaur,458002,9,6,0
31-12-2025,madhya pradesh,mandsaur,458339,2,1,0
31-12-2025,madhya pradesh,mandsaur,458556,20,3,0
31-12-2025,madhya pradesh,mandsaur,458775,29,10,0
31-12-2025,madhya pradesh,morena,476111,22,24,2
31-12-2025,madhya pradesh,morena,476134,3,4,0
31-12-2025,madhya pradesh,morena,476554,12,10,0
31-12-2025,madhya pradesh,hoshangabad,461775,3,3,0
31-12-2025,madhya pradesh,hoshangabad,461990,5,2,0
31-12-2025,madhya pradesh,narsinghpur,487441,5,1,0
31-12-2025,madhya pradesh,narsinghpur,487881,3,0,0
31-12-2025,madhya pradesh,narsinghpur,487001,23,8,0
31-12-2025,madhya pradesh,narsinghpur,487330,8,2,0
31-12-2025,madhya pradesh,neemuch,458116,10,2,0
31-12-2025,madhya pradesh,neemuch,458118,20,4,0
31-12-2025,madhya pradesh,neemuch,458468,1,0,0
31-12-2025,madhya pradesh,panna,488220,18,31,0
31-12-2025,madhya pradesh,raisen,462046,1,3,0
31-12-2025,madhya pradesh,raisen,464661,2,1,0
31-12-2025,madhya pradesh,raisen,464774,18,7,0
31-12-2025,madhya pradesh,raisen,464881,12,6,0
31-12-2025,madhya pradesh,raisen,464990,11,3,0
31-12-2025,madhya pradesh,rajgarh,465667,27,6,0
31-12-2025,madhya pradesh,rajgarh,465674,23,17,0
31-12-2025,madhya pradesh,rajgarh,465677,20,11,0
31-12-2025,madhya pradesh,rajgarh,465679,21,8,1
31-12-2025,madhya pradesh,ratlam,457001,25,18,2
31-12-2025,madhya pradesh,ratlam,457333,3,3,0
31-12-2025,madhya pradesh,ratlam,457555,10,16,0
31-12-2025,madhya pradesh,rewa,486002,1,1,0
31-12-2025,madhya pradesh,rewa,486005,1,0,0
31-12-2025,madhya pradesh,rewa,486006,6,0,0
31-12-2025,madhya pradesh,rewa,486331,33,3,0
31-12-2025,madhya pradesh,rewa,486340,7,1,0
31-12-2025,madhya pradesh,rewa,486341,8,3,0
31-12-2025,madhya pradesh,rewa,486448,4,1,0
31-12-2025,madhya pradesh,rewa,486553,17,3,0
31-12-2025,madhya pradesh,rewa,486556,6,2,0
31-12-2025,madhya pradesh,sagar,470002,17,3,0
31-12-2025,madhya pradesh,sagar,470115,6,7,0
31-12-2025,madhya pradesh,sagar,470119,11,5,0
31-12-2025,madhya pradesh,sagar,470125,3,1,0
31-12-2025,madhya pradesh,sagar,470223,5,1,0
31-12-2025,madhya pradesh,sagar,470226,37,11,2
31-12-2025,madhya pradesh,sagar,470335,23,8,0
31-12-2025,madhya pradesh,sagar,470441,10,7,0
31-12-2025,madhya pradesh,sagar,470442,13,2,0
31-12-2025,madhya pradesh,satna,485001,13,9,4
31-12-2025,madhya pradesh,satna,485772,29,13,0
31-12-2025,madhya pradesh,satna,485774,7,4,0
31-12-2025,madhya pradesh,sehore,466113,3,0,0
