date,state,district,pincode,demo_age_5_17,demo_age_17_
16-12-2025,maharashtra,beed,431519,0,6
16-12-2025,maharashtra,bhandara,441104,0,1
16-12-2025,maharashtra,bhandara,441802,0,40
16-12-2025,maharashtra,bhandara,441803,0,28
16-12-2025,maharashtra,bhandara,441804,1,14
16-12-2025,maharashtra,bhandara,441905,1,10
16-12-2025,maharashtra,bhandara,441907,0,5
16-12-2025,maharashtra,bhandara,441924,0,4
16-12-2025,maharashtra,beed,414203,0,2
16-12-2025,maharashtra,beed,431123,0,2
16-12-2025,maharashtra,beed,431127,0,2
16-12-2025,maharashtra,beed,431515,0,7
16-12-2025,maharashtra,beed,431518,0,1
16-12-2025,maharashtra,beed,431523,0,10
16-12-2025,maharashtra,buldhana,443001,1,15
16-12-2025,maharashtra,buldhana,443203,0,7
16-12-2025,maharashtra,buldhana,443102,0,11
16-12-2025,maharashtra,buldhana,443401,0,7
16-12-2025,maharashtra,buldhana,444204,0,9
16-12-2025,maharashtra,buldhana,444303,1,48
16-12-2025,maharashtra,buldhana,444304,1,1
16-12-2025,maharashtra,chandrapur,441205,0,17
16-12-2025,maharashtra,chandrapur,441228,0,4
16-12-2025,maharashtra,chandrapur,442503,2,3
16-12-2025,maharashtra,chandrapur,442507,0,1
16-12-2025,maharashtra,chandrapur,442904,0,5
16-12-2025,maharashtra,chandrapur,442908,2,43
16-12-2025,maharashtra,osmanabad,413503,0,1
16-12-2025,maharashtra,dhule,424307,1,18
16-12-2025,maharashtra,dhule,425406,2,15
16-12-2025,maharashtra,dhule,425427,1,11
16-12-2025,maharashtra,gadchiroli,441217,2,20
16-12-2025,maharashtra,gadchiroli,442605,1,15
16-12-2025,maharashtra,gondia,441701,0,1
16-12-2025,maharashtra,gondia,441807,0,3
16-12-2025,maharashtra,gondia,441614,0,3
16-12-2025,maharashtra,hingoli,431509,0,10
16-12-2025,maharashtra,hingoli,431511,0,6
16-12-2025,maharashtra,hingoli,431512,6,86
16-12-2025,maharashtra,hingoli,431513,4,97
16-12-2025,maharashtra,jalgaon,424104,0,5
16-12-2025,maharashtra,jalgaon,424105,3,18
16-12-2025,maharashtra,jalgaon,424106,2,21
16-12-2025,maharashtra,jalgaon,424107,1,6
16-12-2025,maharashtra,jalgaon,424202,2,5
16-12-2025,maharashtra,jalgaon,424209,0,4
16-12-2025,maharashtra,jalgaon,425104,0,8
16-12-2025,maharashtra,jalgaon,425107,1,51
16-12-2025,maharashtra,jalgaon,425113,0,3
16-12-2025,maharashtra,jalgaon,425115,3,21
16-12-2025,maharashtra,jalgaon,425306,4,18
16-12-2025,maharashtra,jalgaon,425307,1,2
16-12-2025,maharashtra,jalgaon,425310,0,27
16-12-2025,maharashtra,jalgaon,425503,2,18
16-12-2025,maharashtra,jalgaon,425505,0,2
16-12-2025,maharashtra,jalgaon,425508,2,4
16-12-2025,uttar pradesh,barabanki,225403,1,24
16-12-2025,uttar pradesh,barabanki,225415,3,54
16-12-2025,uttar pradesh,barabanki,225416,5,22
16-12-2025,uttar pradesh,bareilly,243006,1,41
16-12-2025,uttar pradesh,bareilly,243402,2,31
16-12-2025,uttar pradesh,bareilly,243501,8,35
16-12-2025,uttar pradesh,bareilly,243503,17,166
16-12-2025,uttar pradesh,bareilly,243506,3,42
16-12-2025,uttar pradesh,basti,272124,7,28
16-12-2025,uttar pradesh,basti,272127,1,12
16-12-2025,uttar pradesh,basti,272129,4,20
16-12-2025,uttar pradesh,basti,272151,7,28
16-12-2025,uttar pradesh,basti,272161,0,16
16-12-2025,uttar pradesh,basti,272162,0,2
16-12-2025,uttar pradesh,basti,272177,1,6
16-12-2025,uttar pradesh,basti,272301,4,58
16-12-2025,uttar pradesh,bhadohi,221406,2,1
16-12-2025,uttar pradesh,bijnor,246725,7,122
16-12-2025,uttar pradesh,bijnor,246728,2,14
16-12-2025,uttar pradesh,bijnor,246737,1,3
16-12-2025,uttar pradesh,bijnor,246765,1,5
16-12-2025,uttar pradesh,budaun,202525,1,42
16-12-2025,uttar pradesh,budaun,243630,1,43
16-12-2025,uttar pradesh,budaun,243633,12,114
16-12-2025,uttar pradesh,budaun,243641,4,67
16-12-2025,uttar pradesh,budaun,243723,0,13
16-12-2025,uttar pradesh,bulandshahr,202392,0,1
16-12-2025,uttar pradesh,bulandshahr,202393,10,69
16-12-2025,uttar pradesh,bulandshahr,202396,3,29
16-12-2025,uttar pradesh,bulandshahr,203002,2,12
16-12-2025,uttar pradesh,bulandshahr,203129,6,19
16-12-2025,uttar pradesh,bulandshahr,203131,19,160
16-12-2025,uttar pradesh,bulandshahr,203132,3,30
16-12-2025,uttar pradesh,bulandshahr,203141,1,13
16-12-2025,uttar pradesh,bulandshahr,203395,1,2
16-12-2025,uttar pradesh,bulandshahr,203403,0,1
16-12-2025,uttar pradesh,chandauli,221009,3,10
16-12-2025,uttar pradesh,chandauli,232118,0,38
16-12-2025,uttar pradesh,chitrakoot,210206,4,62
16-12-2025,uttar pradesh,chitrakoot,210207,5,57
16-12-2025,uttar pradesh,deoria,274404,8,48
16-12-2025,uttar pradesh,deoria,274408,4,43
16-12-2025,uttar pradesh,deoria,274502,4,40
16-12-2025,uttar pradesh,deoria,274701,10,47
16-12-2025,uttar pradesh,deoria,274705,3,15
16-12-2025,uttar pradesh,etah,207125,2,13
16-12-2025,uttar pradesh,etah,207243,1,1
16-12-2025,uttar pradesh,etah,207244,3,14
16-12-2025,uttar pradesh,etah,207247,9,73
16-12-2025,uttar pradesh,etawah,206121,1,0
16-12-2025,uttar pradesh,etawah,206125,0,24
16-12-2025,uttar pradesh,etawah,206127,3,22
16-12-2025,uttar pradesh,etawah,206130,3,12
16-12-2025,uttar pradesh,ayodhya,224121,2,23
16-12-2025,uttar pradesh,ayodhya,224132,0,6
16-12-2025,uttar pradesh,ayodhya,224141,3,16
16-12-2025,uttar pradesh,ayodhya,224172,1,7
16-12-2025,uttar pradesh,ayodhya,224188,4,21
16-12-2025,uttar pradesh,ayodhya,224202,1,15
16-12-2025,uttar pradesh,ayodhya,225411,3,44
16-12-2025,uttar pradesh,farrukhabad,207502,5,64
16-12-2025,uttar pradesh,farrukhabad,207505,1,44
16-12-2025,uttar pradesh,farrukhabad,209501,2,5
16-12-2025,uttar pradesh,farrukhabad,209503,0,3
16-12-2025,uttar pradesh,farrukhabad,209505,1,6
16-12-2025,uttar pradesh,farrukhabad,209601,6,71
16-12-2025,uttar pradesh,fatehpur,212654,0,14
16-12-2025,uttar pradesh,fatehpur,212661,1,36
16-12-2025,uttar pradesh,firozabad,205130,2,28
16-12-2025,uttar pradesh,firozabad,205141,3,35
16-12-2025,uttar pradesh,firozabad,205147,4,20
16-12-2025,uttar pradesh,firozabad,205152,3,46
16-12-2025,uttar pradesh,firozabad,205261,0,4
16-12-2025,uttar pradesh,firozabad,215126,4,26
16-12-2025,uttar pradesh,gautam buddha nagar,201304,5,57
16-12-2025,uttar pradesh,gautam buddha nagar,201306,7,90
16-12-2025,uttar pradesh,gautam buddha nagar,201310,4,50
16-12-2025,uttar pradesh,gautam buddha nagar,203135,4,38
16-12-2025,uttar pradesh,gautam buddha nagar,203155,3,22
16-12-2025,uttar pradesh,gautam buddha nagar,203201,2,30
16-12-2025,uttar pradesh,gautam buddha nagar,203203,1,9
16-12-2025,uttar pradesh,ghaziabad,201007,2,29
16-12-2025,uttar pradesh,ghaziabad,201014,15,72
16-12-2025,uttar pradesh,ghaziabad,245201,3,10
16-12-2025,uttar pradesh,ghaziabad,245304,4,88
16-12-2025,uttar pradesh,ghazipur,232327,0,19
16-12-2025,uttar pradesh,ghazipur,232330,0,2
16-12-2025,uttar pradesh,ghazipur,233223,0,18
16-12-2025,uttar pradesh,ghazipur,233232,4,11
16-12-2025,uttar pradesh,ghazipur,233306,0,21
16-12-2025,uttar pradesh,ghazipur,275203,3,39
16-12-2025,uttar pradesh,gonda,271125,5,15
16-12-2025,uttar pradesh,gonda,271126,2,15
16-12-2025,uttar pradesh,gonda,271313,0,20
16-12-2025,uttar pradesh,gonda,271402,2,19
16-12-2025,uttar pradesh,gonda,271502,6,50
16-12-2025,uttar pradesh,gonda,271503,3,41
16-12-2025,uttar pradesh,gorakhpur,273006,1,4
16-12-2025,uttar pradesh,gorakhpur,273007,7,53
16-12-2025,uttar pradesh,gorakhpur,273009,1,1
16-12-2025,uttar pradesh,gorakhpur,273016,2,54
16-12-2025,uttar pradesh,gorakhpur,273402,6,68
16-12-2025,uttar pradesh,gorakhpur,273407,6,37
16-12-2025,uttar pradesh,gorakhpur,273408,0,42
16-12-2025,uttar pradesh,gorakhpur,273411,5,24
16-12-2025,uttar pradesh,gorakhpur,273412,3,45
16-12-2025,uttar pradesh,hamirpur,210431,3,72
16-12-2025,uttar pradesh,hamirpur,210504,0,7
16-12-2025,uttar pradesh,hamirpur,210505,4,37
16-12-2025,uttar pradesh,hapur,201102,0,1
16-12-2025,uttar pradesh,hapur,245201,1,6
16-12-2025,uttar pradesh,hapur,245205,6,66
16-12-2025,uttar pradesh,hardoi,241122,3,25
16-12-2025,uttar pradesh,hardoi,241123,2,60
16-12-2025,uttar pradesh,hardoi,241126,2,32
16-12-2025,uttar pradesh,hardoi,241202,2,33
16-12-2025,uttar pradesh,hathras,202139,2,8
16-12-2025,uttar pradesh,hathras,204214,3,39
16-12-2025,uttar pradesh,hathras,281302,4,32
16-12-2025,uttar pradesh,hathras,281306,9,68
16-12-2025,uttar pradesh,jalaun,285001,6,136
16-12-2025,uttar pradesh,jalaun,285128,0,3
16-12-2025,uttar pradesh,jalaun,285202,3,20
16-12-2025,uttar pradesh,jalaun,285223,1,20
16-12-2025,uttar pradesh,jaunpur,222107,0,2
16-12-2025,uttar pradesh,jaunpur,222108,0,5
16-12-2025,uttar pradesh,jaunpur,222112,0,5
16-12-2025,uttar pradesh,jaunpur,222128,0,19
16-12-2025,uttar pradesh,jaunpur,222131,3,20
16-12-2025,uttar pradesh,jaunpur,222139,6,77
16-12-2025,uttar pradesh,jaunpur,222180,2,30
16-12-2025,uttar pradesh,jhansi,284001,5,51
16-12-2025,uttar pradesh,jhansi,284201,1,18
16-12-2025,uttar pradesh,jhansi,284203,3,27
16-12-2025,uttar pradesh,jhansi,284205,5,63
16-12-2025,uttar pradesh,jhansi,284302,1,10
16-12-2025,uttar pradesh,jhansi,284303,4,37
16-12-2025,uttar pradesh,jhansi,284305,0,1
16-12-2025,uttar pradesh,jhansi,284306,2,15
16-12-2025,uttar pradesh,jhansi,284419,2,22
16-12-2025,uttar pradesh,amroha,244222,0,6
16-12-2025,uttar pradesh,kannauj,209721,10,72
16-12-2025,uttar pradesh,kannauj,209726,0,13
16-12-2025,uttar pradesh,kannauj,209729,5,12
16-12-2025,uttar pradesh,kanpur dehat,209111,2,40
16-12-2025,uttar pradesh,kanpur nagar,208014,3,47
16-12-2025,uttar pradesh,kanpur nagar,208025,1,22
16-12-2025,uttar pradesh,kanpur nagar,209206,7,81
16-12-2025,uttar pradesh,kanpur nagar,209214,2,37
16-12-2025,uttar pradesh,kanpur nagar,209401,4,33
16-12-2025,uttar pradesh,kasganj,207123,11,80
16-12-2025,uttar pradesh,kasganj,207243,7,60
16-12-2025,uttar pradesh,kaushambi,211011,0,1
16-12-2025,uttar pradesh,kaushambi,212203,4,25
16-12-2025,uttar pradesh,kaushambi,212216,13,73
16-12-2025,uttar pradesh,lakhimpur kheri,262803,1,18
16-12-2025,uttar pradesh,lakhimpur kheri,262902,8,96
16-12-2025,uttar pradesh,lakhimpur kheri,271855,0,2
16-12-2025,uttar pradesh,kushinagar,274306,6,67
16-12-2025,uttar pradesh,kushinagar,274408,0,3
16-12-2025,uttar pradesh,kushinagar,274802,8,93
16-12-2025,uttar pradesh,lalitpur,284124,2,31
16-12-2025,uttar pradesh,lalitpur,284402,2,20
16-12-2025,uttar pradesh,lucknow,226002,6,96
16-12-2025,uttar pradesh,lucknow,226003,16,347
16-12-2025,uttar pradesh,lucknow,226018,3,46
16-12-2025,uttar pradesh,lucknow,226022,2,37
16-12-2025,uttar pradesh,lucknow,226025,1,20
16-12-2025,uttar pradesh,lucknow,226029,5,20
16-12-2025,uttar pradesh,lucknow,226101,2,49
16-12-2025,uttar pradesh,lucknow,227111,2,38
16-12-2025,uttar pradesh,lucknow,227125,3,42
16-12-2025,uttar pradesh,maharajganj,273157,4,55
16-12-2025,uttar pradesh,maharajganj,273163,6,62
16-12-2025,uttar pradesh,maharajganj,273165,1,22
16-12-2025,uttar pradesh,maharajganj,273302,6,47
16-12-2025,uttar pradesh,maharajganj,273303,13,98
16-12-2025,uttar pradesh,mahoba,210421,0,30
16-12-2025,uttar pradesh,mahoba,210423,0,32
16-12-2025,uttar pradesh,mainpuri,205264,4,38
16-12-2025,uttar pradesh,mainpuri,205301,0,1
16-12-2025,uttar pradesh,mathura,281122,9,49
16-12-2025,uttar pradesh,mathura,281201,4,25
16-12-2025,uttar pradesh,mathura,281206,3,19
16-12-2025,uttar pradesh,mau,275102,4,26
16-12-2025,uttar pradesh,mau,275306,2,16
16-12-2025,uttar pradesh,mau,275307,2,7
16-12-2025,uttar pradesh,mau,276405,0,23
16-12-2025,uttar pradesh,meerut,250103,2,33
16-12-2025,uttar pradesh,meerut,250205,3,20
16-12-2025,uttar pradesh,meerut,250344,2,32
16-12-2025,uttar pradesh,meerut,250404,5,38
16-12-2025,uttar pradesh,meerut,250501,2,56
16-12-2025,uttar pradesh,mirzapur,231301,2,38
16-12-2025,uttar pradesh,mirzapur,231312,7,33
16-12-2025,uttar pradesh,moradabad,202411,5,98
16-12-2025,uttar pradesh,moradabad,244001,29,510
16-12-2025,uttar pradesh,moradabad,244501,11,117
16-12-2025,uttar pradesh,muzaffarnagar,247776,0,6
16-12-2025,uttar pradesh,muzaffarnagar,251002,3,150
16-12-2025,uttar pradesh,muzaffarnagar,251306,3,30
16-12-2025,uttar pradesh,muzaffarnagar,251316,2,39
16-12-2025,uttar pradesh,muzaffarnagar,251327,1,39
16-12-2025,uttar pradesh,pilibhit,262001,16,219
16-12-2025,uttar pradesh,pilibhit,262202,5,35
16-12-2025,uttar pradesh,pilibhit,262302,0,2
16-12-2025,uttar pradesh,pratapgarh,230125,0,25
16-12-2025,uttar pradesh,pratapgarh,230128,7,38
16-12-2025,uttar pradesh,pratapgarh,230132,2,43
16-12-2025,uttar pradesh,pratapgarh,230135,2,44
16-12-2025,uttar pradesh,pratapgarh,230138,0,18
16-12-2025,uttar pradesh,pratapgarh,230402,6,64
16-12-2025,uttar pradesh,pratapgarh,230405,1,15
16-12-2025,uttar pradesh,pratapgarh,230502,3,17
16-12-2025,uttar pradesh,prayagraj,211001,0,7
16-12-2025,uttar pradesh,prayagraj,211003,1,34
16-12-2025,uttar pradesh,prayagraj,211004,0,3
16-12-2025,uttar pradesh,prayagraj,211010,0,2
16-12-2025,uttar pradesh,prayagraj,211012,3,10
16-12-2025,uttar pradesh,prayagraj,211013,0,3
16-12-2025,uttar pradesh,prayagraj,211016,1,18
16-12-2025,uttar pradesh,prayagraj,212405,0,3
16-12-2025,uttar pradesh,prayagraj,212502,0,9
16-12-2025,uttar pradesh,prayagraj,221502,1,11
16-12-2025,uttar pradesh,prayagraj,221503,3,13
16-12-2025,uttar pradesh,rae bareli,229201,1,11
16-12-2025,uttar pradesh,rae bareli,229216,1,10
16-12-2025,uttar pradesh,rae bareli,229309,1,0
16-12-2025,uttar pradesh,rae bareli,229311,0,8
16-12-2025,uttar pradesh,rae bareli,229402,4,26
16-12-2025,uttar pradesh,rae bareli,229801,0,1
16-12-2025,uttar pradesh,rampur,202411,1,4
16-12-2025,uttar pradesh,rampur,244921,8,121
16-12-2025,uttar pradesh,rampur,244922,8,108
16-12-2025,uttar pradesh,saharanpur,247231,3,51
16-12-2025,uttar pradesh,saharanpur,247232,5,42
16-12-2025,uttar pradesh,saharanpur,247343,3,9
16-12-2025,uttar pradesh,saharanpur,247451,6,88
16-12-2025,uttar pradesh,saharanpur,247551,8,53
16-12-2025,uttar pradesh,saharanpur,247670,0,6
16-12-2025,uttar pradesh,sambhal,202412,13,89
16-12-2025,uttar pradesh,sambhal,244242,1,10
16-12-2025,uttar pradesh,sambhal,244304,9,66
16-12-2025,uttar pradesh,sambhal,244414,0,2
16-12-2025,uttar pradesh,sant kabir nagar,272162,7,49
16-12-2025,uttar pradesh,sant kabir nagar,272164,4,39
16-12-2025,uttar pradesh,shahjahanpur,242042,5,64
16-12-2025,uttar pradesh,shahjahanpur,242405,3,19
16-12-2025,uttar pradesh,shamli,247776,9,138
16-12-2025,uttar pradesh,shrawasti,271821,2,30
16-12-2025,uttar pradesh,shrawasti,271835,1,46
16-12-2025,uttar pradesh,shrawasti,271845,4,79
16-12-2025,uttar pradesh,shrawasti,271865,0,10
16-12-2025,uttar pradesh,siddharthnagar,272195,0,22
16-12-2025,uttar pradesh,siddharthnagar,272204,2,27
16-12-2025,uttar pradesh,sitapur,261131,2,41
16-12-2025,uttar pradesh,sitapur,261135,13,111
16-12-2025,uttar pradesh,sitapur,261141,6,77
16-12-2025,uttar pradesh,sitapur,261202,6,50
16-12-2025,uttar pradesh,sitapur,261204,1,52
16-12-2025,uttar pradesh,sitapur,261205,6,65
16-12-2025,uttar pradesh,sitapur,261206,6,27
16-12-2025,uttar pradesh,sitapur,261301,5,39
16-12-2025,uttar pradesh,sitapur,261404,0,7
16-12-2025,uttar pradesh,sonbhadra,231217,0,17
16-12-2025,uttar pradesh,sonbhadra,231222,0,9
16-12-2025,uttar pradesh,sonbhadra,231223,1,32
16-12-2025,uttar pradesh,sultanpur,227805,5,37
16-12-2025,uttar pradesh,sultanpur,227808,9,64
16-12-2025,uttar pradesh,sultanpur,227817,0,1
16-12-2025,uttar pradesh,sultanpur,228120,1,6
16-12-2025,uttar pradesh,sultanpur,228125,4,22
16-12-2025,uttar pradesh,sultanpur,228131,4,47
16-12-2025,uttar pradesh,sultanpur,228151,3,27
16-12-2025,uttar pradesh,sultanpur,228171,4,40
16-12-2025,uttar pradesh,sultanpur,228172,0,3
16-12-2025,uttar pradesh,unnao,209506,1,19
16-12-2025,uttar pradesh,unnao,209821,5,69
16-12-2025,uttar pradesh,unnao,209867,0,3
16-12-2025,uttar pradesh,unnao,209871,0,3
16-12-2025,uttar pradesh,unnao,241501,7,96
16-12-2025,uttar pradesh,unnao,241504,8,95
16-12-2025,uttar pradesh,varanasi,221011,2,37
16-12-2025,uttar pradesh,varanasi,221103,1,11
16-12-2025,uttar pradesh,varanasi,221105,3,46
16-12-2025,uttar pradesh,varanasi,221108,0,31
16-12-2025,uttar pradesh,varanasi,221111,1,3
16-12-2025,uttar pradesh,varanasi,221116,2,5
16-12-2025,uttar pradesh,varanasi,221206,10,21
16-12-2025,uttar pradesh,varanasi,221305,3,8
16-12-2025,uttarakhand,almora,263659,0,2
16-12-2025,uttarakhand,almora,263660,0,1
16-12-2025,uttarakhand,almora,263661,0,6
16-12-2025,uttarakhand,almora,263664,0,2
16-12-2025,uttarakhand,bageshwar,263640,0,4
16-12-2025,uttarakhand,chamoli,246401,0,5
16-12-2025,uttarakhand,chamoli,246435,2,9
16-12-2025,uttarakhand,chamoli,246446,0,1
16-12-2025,uttarakhand,dehradun,248001,7,139
16-12-2025,uttarakhand,dehradun,248005,0,13
16-12-2025,uttarakhand,dehradun,248008,2,20
16-12-2025,uttarakhand,dehradun,248013,0,5
16-12-2025,uttarakhand,dehradun,248165,0,1
16-12-2025,uttarakhand,dehradun,248195,0,1
16-12-2025,uttarakhand,dehradun,248198,0,22
16-12-2025,uttarakhand,dehradun,248199,2,18
16-12-2025,uttarakhand,dehradun,249201,2,27
16-12-2025,uttarakhand,dehradun,249203,0,3
16-12-2025,uttarakhand,pauri garhwal,246128,0,1
16-12-2025,uttarakhand,pauri garhwal,246149,0,6
16-12-2025,uttarakhand,haridwar,247661,0,1
16-12-2025,uttarakhand,haridwar,249404,0,1
16-12-2025,uttarakhand,haridwar,249407,0,2
16-12-2025,uttarakhand,haridwar,246763,3,10
16-12-2025,uttarakhand,haridwar,247665,1,19
16-12-2025,uttarakhand,haridwar,247666,2,23
16-12-2025,uttarakhand,haridwar,247667,15,150
16-12-2025,uttarakhand,haridwar,249403,4,25
16-12-2025,uttarakhand,haridwar,249404,1,29
16-12-2025,uttarakhand,haridwar,249410,0,4
16-12-2025,uttarakhand,nainital,244715,4,50
16-12-2025,uttarakhand,nainital,263132,0,25
16-12-2025,uttarakhand,nainital,263141,1,3
16-12-2025,uttarakhand,nainital,263157,0,4
16-12-2025,uttarakhand,nainital,263158,1,7
16-12-2025,uttarakhand,pauri garhwal,246130,0,9
16-12-2025,uttarakhand,pauri garhwal,246131,0,1
16-12-2025,uttarakhand,pauri garhwal,246155,1,11
16-12-2025,uttarakhand,pauri garhwal,246165,0,2
16-12-2025,uttarakhand,pauri garhwal,246172,0,8
16-12-2025,uttarakhand,pauri garhwal,246173,1,4
16-12-2025,uttarakhand,pauri garhwal,246177,0,2
16-12-2025,uttarakhand,pithoragarh,262502,0,3
16-12-2025,uttarakhand,pithoragarh,262520,0,2
16-12-2025,uttarakhand,pithoragarh,262533,0,1
16-12-2025,uttarakhand,pithoragarh,262545,2,16
16-12-2025,uttarakhand,pithoragarh,262552,2,7
16-12-2025,uttarakhand,pithoragarh,262554,1,5
16-12-2025,uttarakhand,tehri garhwal,249137,1,7
16-12-2025,uttarakhand,tehri garhwal,249199,1,4
16-12-2025,uttarakhand,udham singh nagar,262308,4,66
16-12-2025,uttarakhand,udham singh nagar,263152,3,49
16-12-2025,west bengal,howrah,711316,0,1
16-12-2025,west bengal,alipurduar,735216,1,3
16-12-2025,west bengal,alipurduar,735220,3,3
16-12-2025,west bengal,alipurduar,736203,1,2
16-12-2025,west bengal,bankura,722102,0,5
16-12-2025,west bengal,bankura,722140,3,26
16-12-2025,west bengal,bankura,722146,0,10
16-12-2025,west bengal,bankura,722153,2,7
16-12-2025,west bengal,bankura,722157,3,15
16-12-2025,west bengal,bankura,722161,0,2
16-12-2025,west bengal,bankura,722181,0,1
16-12-2025,west bengal,bankura,722182,1,6
16-12-2025,west bengal,bankura,722207,6,46
16-12-2025,west bengal,bankura,723168,1,2
16-12-2025,west bengal,birbhum,731124,4,28
16-12-2025,west bengal,birbhum,731125,4,11
16-12-2025,west bengal,birbhum,731126,1,31
16-12-2025,west bengal,birbhum,731129,1,21
16-12-2025,west bengal,birbhum,731201,2,24
16-12-2025,west bengal,birbhum,731204,1,34
16-12-2025,west bengal,birbhum,731222,2,14
16-12-2025,west bengal,birbhum,731234,1,35
16-12-2025,west bengal,birbhum,731237,5,30
16-12-2025,west bengal,birbhum,731238,4,36
16-12-2025,west bengal,cooch behar,735231,1,0
16-12-2025,west bengal,cooch behar,735303,8,18
16-12-2025,west bengal,cooch behar,736131,3,8
16-12-2025,west bengal,cooch behar,736135,5,47
16-12-2025,west bengal,cooch behar,736146,10,22
16-12-2025,west bengal,cooch behar,736156,1,19
16-12-2025,west bengal,cooch behar,736172,5,16
16-12-2025,west bengal,cooch behar,736179,0,6
16-12-2025,west bengal,cooch behar,736204,0,1
16-12-2025,west bengal,dakshin dinajpur,733103,2,35
16-12-2025,west bengal,dakshin dinajpur,733121,5,28
16-12-2025,west bengal,dakshin dinajpur,733127,1,29
16-12-2025,west bengal,dakshin dinajpur,733131,0,2
16-12-2025,west bengal,dakshin dinajpur,733151,0,7
16-12-2025,west bengal,dakshin dinajpur,733153,0,5
16-12-2025,west bengal,dakshin dinajpur,733155,0,1
